id,word,meaning,level,failCount
4,function,hàm,1,0
5,class,lớp,1,0
6,object,đối tượng,1,0
7,array,mảng,1,0
8,loop,vòng lặp,1,0
9,compiler,trình biên dịch,1,0
10,database,cơ sở dữ liệu,1,0
11,algorithm,thuật toán,1,0
12,interface,giao diện,1,0
13,inheritance,kế thừa,1,0
14,polymorphism,đa hình,1,0
15,encapsulation,đóng gói,1,0
16,abstraction,trừu tượng,1,0
17,method,phương thức,1,0
18,constructor,hàm khởi tạo,1,0
19,exception,ngoại lệ,1,0
20,syntax,cú pháp,1,0
21,boolean,logic đúng sai,1,0
22,string,chuỗi ký tự,1,0
23,integer,số nguyên,1,0
24,float,số thực,1,0
25,framework,khung chương trình,1,0
26,library,thư viện,1,0
27,dependency,sự phụ thuộc,1,0
28,backend,phía máy chủ,1,0
29,frontend,phía giao diện,1,0
30,repository,kho lưu trữ,1,0
31,branch,nhánh,1,0
32,merge,hợp nhất,1,0
33,commit,lưu thay đổi,1,0
34,debugging,sửa lỗi,1,0
35,deployment,triển khai,1,0
36,variable,biến số,1,0
37,parameter,tham số,1,0
38,argument,đối số,1,0
39,constant,hằng số,1,0
40,pointer,con trỏ,1,0
41,recursion,đệ quy,1,0
42,condition,điều kiện,1,0
43,iteration,lặp lại,1,0
44,reference,tham chiếu,1,0
45,statement,câu lệnh,1,0
46,operator,toán tử,1,0
47,binary,nhị phân,1,0
48,network,mạng,1,0
49,server,máy chủ,1,0
50,client,máy khách,1,0
51,protocol,giao thức,1,0
52,security,bảo mật,1,0
2,book,quyển sách,1,1
1,apple,quả táo,1,1
3,variable,biến,2,0
